model,k,silhouette,inertia
MiniLM-L6-v2 (384D),5,0.07112918,2539.812255859375
MiniLM-L6-v2 (384D),10,0.0782797,2402.828857421875
MiniLM-L6-v2 (384D),15,0.092917286,2320.782958984375
MiniLM-L6-v2 (384D),20,0.090682454,2261.613037109375
MiniLM-L6-v2 (384D),25,0.09087324,2212.629638671875
MiniLM-L6-v2 (384D),30,0.10160287,2160.40771484375
MPNet-base-v2 (768D),5,0.08779443,2474.552490234375
MPNet-base-v2 (768D),10,0.10361634,2344.97119140625
MPNet-base-v2 (768D),15,0.09104637,2263.53955078125
MPNet-base-v2 (768D),20,0.08772928,2200.22216796875
MPNet-base-v2 (768D),25,0.09060503,2150.284912109375
MPNet-base-v2 (768D),30,0.095576726,2112.394775390625
CodeBERT (768D),5,0.2517258,86.55061340332031
CodeBERT (768D),10,0.156914,76.1414566040039
CodeBERT (768D),15,0.15189876,70.58000183105469
CodeBERT (768D),20,0.1425188,67.37395477294922
CodeBERT (768D),25,0.13606115,64.95654296875
CodeBERT (768D),30,0.12041837,63.000274658203125
BGE-large-en (1024D),5,0.06903187,1455.0736083984375
BGE-large-en (1024D),10,0.096643284,1375.0462646484375
BGE-large-en (1024D),15,0.114945896,1317.4224853515625
BGE-large-en (1024D),20,0.08588424,1276.8109130859375
BGE-large-en (1024D),25,0.08710229,1247.912109375
BGE-large-en (1024D),30,0.090898134,1227.725341796875
